Player,wing_feet,height_feet,wing_height_ratio
Justin Jackson (Canada),7.270833333333333333333333,6.479166666666666666666666,1.12218649517684887459807
Ike Anigbogu,7.520833333333333333333333,6.708333333333333333333333,1.121118012422360248447204
Donovan Mitchell,6.833333333333333333333333,6.104166666666666666666666,1.119453924914675767918088
Trevor Mbakwe,7.333333333333333333333333,6.5625,1.11746031746031746031746
Wade Baldwin,6.9375,6.208333333333333333333333,1.117449664429530201342281
Montrezl Harrell,7.354166666666666666666666,6.583333333333333333333333,1.117088607594936708860759
Rodrigue Beaubois,6.8125,6.104166666666666666666666,1.116040955631399317406143
Jordan McRae,7.041666666666666666666666,6.3125,1.115511551155115511551155
Kawhi Leonard,7.25,6.5,1.115384615384615384615384
Marshon Brooks,7.083333333333333333333333,6.354166666666666666666666,1.114754098360655737704918
DeJuan Blair,7.166666666666666666666666,6.4375,1.113268608414239482200647
Jeff Adrien,7.166666666666666666666666,6.4375,1.113268608414239482200647
Cheick Diallo,7.375,6.625,1.113207547169811320754716
Kadeem Allen,6.770833333333333333333333,6.083333333333333333333333,1.113013698630136986301369
Rakeem Christmas,7.4375,6.6875,1.112149532710280373831775
Nigel Hayes,7.25,6.520833333333333333333333,1.111821086261980830670926
Rondae Hollis-Jefferson,7.166666666666666666666666,6.458333333333333333333333,1.109677419354838709677419
Kelly Oubre,7.1875,6.479166666666666666666666,1.109324758842443729903537
Michael Qualls,7.020833333333333333333333,6.333333333333333333333333,1.108552631578947368421052
A.J. English,6.833333333333333333333333,6.166666666666666666666666,1.108108108108108108108108
Robert Carter,7.270833333333333333333333,6.5625,1.107936507936507936507936
Lazar Hayward,7.0625,6.375,1.107843137254901960784313
Adonis Thomas,7.083333333333333333333333,6.395833333333333333333333,1.107491856677524429967426
Isaiah Briscoe,6.75,6.104166666666666666666666,1.105802047781569965870307
Jerami Grant,7.229166666666666666666666,6.541666666666666666666666,1.105095541401273885350318
Quincy Acy,7.229166666666666666666666,6.541666666666666666666666,1.105095541401273885350318
Larry Sanders,7.479166666666666666666666,6.770833333333333333333333,1.104615384615384615384615
Jordan Mickey,7.270833333333333333333333,6.583333333333333333333333,1.104430379746835443037974
Dexter Pittman,7.5,6.791666666666666666666666,1.10429447852760736196319
Thomas Bryant,7.5,6.791666666666666666666666,1.10429447852760736196319
Cliff Alexander,7.291666666666666666666666,6.604166666666666666666666,1.104100946372239747634069
Andre Drummond,7.520833333333333333333333,6.8125,1.103975535168195718654434
Johnathan Motley,7.333333333333333333333333,6.645833333333333333333333,1.103448275862068965517241
Norman Powell,6.895833333333333333333333,6.25,1.103333333333333333333333
Noah Vonleh,7.354166666666666666666666,6.666666666666666666666666,1.103125
Terry Rozier,6.6875,6.0625,1.103092783505154639175257
Hassan Whiteside,7.583333333333333333333333,6.875,1.10303030303030303030303
Kyle O'Quinn,7.395833333333333333333333,6.708333333333333333333333,1.102484472049689440993788
OG Anunoby,7.1875,6.520833333333333333333333,1.102236421725239616613418
Jarrett Allen,7.4375,6.75,1.101851851851851851851851
Anthony Davis,7.458333333333333333333333,6.770833333333333333333333,1.101538461538461538461538
DeMarcus Cousins,7.479166666666666666666666,6.791666666666666666666666,1.101226993865030674846625
Al-Farouq Aminu,7.270833333333333333333333,6.604166666666666666666666,1.1009463722397476340694
Brandon Ashley,7.270833333333333333333333,6.604166666666666666666666,1.1009463722397476340694
Caleb Swanigan,7.291666666666666666666666,6.625,1.100628930817610062893081
Eric Bledsoe,6.625,6.020833333333333333333333,1.100346020761245674740484
Jeff Teague,6.625,6.020833333333333333333333,1.100346020761245674740484
Brandon Paul,6.854166666666666666666666,6.229166666666666666666666,1.100334448160535117056856
Travis Leslie,6.875,6.25,1.1
Chris Boucher,7.333333333333333333333333,6.666666666666666666666666,1.1
Corey Hawkins,6.666666666666666666666666,6.0625,1.099656357388316151202749
Tiny Gallon,7.375,6.708333333333333333333333,1.099378881987577639751552
Tu Holloway,6.458333333333333333333333,5.875,1.099290780141843971631205
Hamidou Diallo,6.9375,6.3125,1.09900990099009900990099
Orlando Johnson,6.9375,6.3125,1.09900990099009900990099
Jeremy Tyler,7.416666666666666666666666,6.75,1.098765432098765432098765
John Henson,7.416666666666666666666666,6.75,1.098765432098765432098765
Davon Reed,7.0,6.375,1.098039215686274509803921
George De Paula,7.0,6.375,1.098039215686274509803921
Marcus Smart,6.770833333333333333333333,6.166666666666666666666666,1.097972972972972972972973
Festus Ezeli,7.479166666666666666666666,6.8125,1.097859327217125382262996
