Player,Pos,Ht,Wt
,,,
Wilt Chamberlain\chambwi01,C,7-1,275
Larry Costello\costela01,PG,6-1,186
Billy Cunningham\cunnibi01,SF,6-6,210
Ron Filipek\filipro01,F,6-5,205
Johnny Green\greenjo01,PF,6-5,200
Hal Greer\greerha01,SG,6-2,175
Matt Guokas\guokama02,SG,6-5,175
Luke Jackson\jackslu01,PF,6-9,240
Wali Jones\joneswa02,PG,6-2,180
Bill Melchionni\melchbi01,PG,6-1,165
Jim Reid\reidji01,F,6-6,210
Chet Walker\walkech01,SF,6-6,212
Wayne Embry\embrywa01,C,6-8,240
Mal Graham\grahama01,PG,6-1,185
John Havlicek\havlijo01,SG,6-5,203
Bailey Howell\howelba01,PF,6-7,210
Johnny Jones\jonesjo01,SF,6-7,205
Sam Jones\jonessa01,PG,6-4,198
Don Nelson\nelsodo01,SF,6-6,210
Bill Russell\russebi01,C,6-10,215
Tom Sanders\sandeto01,SF,6-6,210
Larry Siegfried\siegfla01,PG,6-3,190
Tom Thacker\thackto01,SG,6-2,170
Rick Weitzman\weitzri01,SG,6-2,175
Dick Barnett\barnedi01,SG,6-4,190
Walt Bellamy\bellawa01,C,6-11,225
Nate Bowman\bowmana01,C,6-10,230
Bill Bradley\bradlbi01,SF,6-5,205
Em Bryant\bryanem01,PG,6-1,175
Jim Caldwell\caldwji01,C,6-10,240
Freddie Crawford\crawffr01,SG,6-4,189
Walt Frazier\fraziwa01,PG,6-4,200
Phil Jackson\jacksph01,PF,6-8,220
Neil Johnson\johnsne02,PF,6-7,220
Howard Komives\komivho01,PG,6-1,185
Willis Reed\reedwi01,PF,6-9,235
Cazzie Russell\russeca01,SF,6-5,218
Dick Van Arsdale\vanardi01,SG,6-5,210
Dave Bing\bingda01,PG,6-3,180
George Carter\cartege01,SF,6-4,210
Len Chappell\chapple01,C,6-8,240
Dave DeBusschere\debusda01,SF,6-6,220
Terry Dischinger\dischte01,SF,6-7,189
Sonny Dove\doveso01,PF,6-7,198
Jim Fox\foxji01,C,6-10,230
Happy Hairston\hairsha01,PF,6-7,225
Paul Long\longpa01,SG,6-2,180
Eddie Miles\milesed01,SG,6-4,195
George Patterson\pattege01,C,6-8,230
Joe Strawder\strawjo01,C,6-10,235
John Tresvant\tresvjo01,PF,6-7,215
Tom Van Arsdale\vanarto01,SG,6-5,202
Jimmy Walker\walkeji01,SG,6-3,195
Len Chappell\chapple01,PF,6-8,240
Connie Dierking\dierkco01,C,6-9,222
Bill Dinwiddie\dinwibi01,SF,6-7,220
Jim Fox\foxji01,C,6-10,230
Gary Gray\grayga01,SG,6-1,185
Happy Hairston\hairsha01,PF,6-7,225
Al Jackson\jacksal01,G,6-1,185
Bob Love\lovebo01,SF,6-8,215
Jerry Lucas\lucasje01,PF,6-8,230
Oscar Robertson\roberos01,PG,6-5,205
Flynn Robinson\robinfl01,PG,6-1,185
Guy Rodgers\rodgegu01,PG,6-0,185
Adrian Smith\smithad01,SG,6-1,180
John Tresvant\tresvjo01,PF,6-7,215
Tom Van Arsdale\vanarto01,SF,6-5,202
Walt Wesley\weslewa01,C,6-11,220
Johnny Egan\eganjo01,PG,5-11,180
Leroy Ellis\ellisle01,C,6-10,210
Bob Ferry\ferrybo01,C,6-8,230
Gus Johnson\johnsgu01,SF,6-6,230
Kevin Loughery\loughke01,PG,6-3,190
Ed Manning\mannied01,PF,6-7,210
Jack Marin\marinja01,SF,6-7,200
Stan McKenzie\mckenst01,SG,6-5,195
Earl Monroe\monroea01,SG,6-3,185
Don Ohl\ohldo01,PG,6-3,190
Ray Scott\scottra01,PF,6-9,215
Roland West\westro01,G,6-4,178
Tom Workman\workmto01,F-C,6-7,218
Zelmo Beaty\beatyze01,C,6-9,225
Bill Bridges\bridgbi01,PF,6-6,228
Joe Caldwell\caldwjo01,SF,6-5,195
Jim Davis\davisji01,C,6-9,225
Lou Hudson\hudsolo01,SG,6-5,210
George Lehmann\lehmage01,PG,6-0,180
Jay Miller\milleja01,SF,6-5,205
Don Ohl\ohldo01,PG,6-3,190
Paul Silas\silaspa01,PF,6-7,220
Dick Snyder\snydedi01,SG,6-5,207
Gene Tormohlen\tormobu01,C,6-8,230
Lenny Wilkens\wilkele01,PG,6-1,180
Tom Workman\workmto01,F-C,6-7,218
Cliff Anderson\andercl01,SG,6-2,200
Jim Barnes\barneji01,PF,6-8,210
Elgin Baylor\bayloel01,SF,6-5,225
Archie Clark\clarkar01,PG,6-2,175
Mel Counts\countme01,PF,7-0,230
Freddie Crawford\crawffr01,SG,6-4,189
Gail Goodrich\goodrga01,SG,6-1,170
Dennis Hamilton\hamilde01,PF,6-8,210
Tom Hawkins\hawkito01,PF,6-5,210
Darrall Imhoff\imhofda01,C,6-10,220
Erwin Mueller\mueller01,C,6-8,230
Jerry West\westje01,SG,6-2,175
John Wetzel\wetzejo01,SF,6-5,190
Al Attles\attleal01,PG,6-0,175
Joe Ellis\ellisjo01,SF,6-6,175
Fred Hetzel\hetzefr01,SF,6-8,220
Jim King\kingji01,PG,6-2,175
Rudy LaRusso\larusru01,PF,6-7,220
Dave Lattin\lattida01,PF,6-6,225
Clyde Lee\leecl01,C,6-10,205
George Lee\leege01,F-G,6-4,200
Bobby Lewis\lewisbo01,SG,6-3,175
