Year,PG,SG,SF,PF,C
2014,73.9,77,79.6,81.3,83.1
2013,73.8,76.8,79.6,81.2,82.9
2012,73.9,77.1,79.7,81.3,82.9
2011,73.9,77.2,79.7,81.3,83
2010,73.8,77.5,79.5,81.3,82.9
2009,73.8,77.1,79.4,81.3,83
2008,73.9,77.3,79.6,81.1,83
2007,73.8,77,79.4,81.1,83.1
2006,74,77.2,79.5,81.5,83.1
2005,73.8,77.3,79.6,81.4,83.3
2004,74.3,77.2,79.4,81.5,83.2
2003,74.2,77.4,79.7,81.5,83.2
2002,73.8,77.1,79.7,81.1,83.4
2001,73.8,76.9,79.5,81.1,83.3
2000,73.4,77.2,79.4,81.1,83.5
1999,73.4,77,79.4,81.1,83.4
1998,73.2,76.9,79.4,81,83.4
1997,73.2,77.2,79.3,81.2,83.6
1996,73.5,77.2,79.4,81.1,83.9
1995,73.2,77.1,79.5,81.1,83.6
1994,73.1,76.9,79.4,81.2,83.4
1993,73,76.9,79.1,81.1,83.5
1992,73.1,76.8,79.2,81,83.7
1991,73.7,77,78.9,81,83.7
1990,73.6,76.9,79.2,81,83.5
1989,74.2,76.6,79.3,81,83.6
1988,73.9,76.7,79.6,81.2,83.6
1987,74.6,76.8,79.2,81.2,83.8
1986,74.4,76.6,79.1,81,83.7
1985,74.5,76.3,78.9,81,83.2
1984,74.2,76.3,78.8,80.8,83.3
1983,74,76.2,78.9,80.6,82.9
1982,73.8,76.2,78.8,80.7,83.1
1981,73.7,76.5,79,80.6,82.9
1980,73.9,76,78.8,80.5,82.5
1979,73.9,75.6,78.7,80.3,82.7
1978,73.9,75.4,78.7,80.5,82.7
1977,73.8,75.4,78.2,80.3,82.6
1976,73.9,75.7,78.3,80,82.4
1975,74.1,75.6,78.1,79.9,82.3
1974,74,75.6,77.9,79.7,82.1
1973,74.4,75.6,77.9,79.6,82.1
1972,74,75.7,77.8,79.5,82.3
1971,74.2,75.6,77.8,79,82.2
1970,74.1,75.8,78,79,82
1969,74,75.9,77.9,79.4,81.8
1968,74.1,75.7,78,79.5,81.7
1967,73.6,75.4,77.8,79.4,82.1
1966,74,75.1,77.8,79.3,82.1
1965,73.9,75.3,77.9,79.7,82.1
1964,73.7,75.4,78,79.4,81.8
1963,73.7,75.2,78,79.4,81.8
1962,74,75.6,77.4,79.2,82.1
1961,73.8,75.5,77.5,79.1,82.1
1960,73.5,75.3,77.1,79.5,81.7
1959,73.7,75.1,77.1,79.6,81.2
1958,73.5,75.1,76.9,79.3,81.4
1957,73.5,75,77.3,78.9,81
1956,72.8,75,76.9,79,80.9
1955,72.6,73.8,76.5,78.7,81
1954,72.7,73.5,76.7,78.6,80.8
1953,72.2,73.5,76.5,78.5,80.2
1952,72.3,73.3,76.4,78,80.5
